epoch,train_ce,val_ce
1,1.3860511117511325,1.3751092222001817
2,1.3529844328209206,1.358251240518358
3,1.3195115239531905,1.3504203226831224
4,1.302508694154245,1.3363908661736383
5,1.2876886703349926,1.330984181827969
6,1.2810655258319996,1.3718722197744582
7,1.2642618638497811,1.3532424569129944
8,1.2643742031521268,1.379262043370141
9,1.2552805476718478,1.4344225128491719
10,1.2423115505112543,1.4682519568337336
11,1.2434538073009915,1.3897078567081027
12,1.2536574800809224,1.3728554381264582
13,1.2722425482891224,1.4340919719802008
14,1.2505666503199824,1.4106931487719219
15,1.2478076992211518,1.461483895778656
16,1.270392726968836,1.4593566921022203
17,1.2452331957993683,1.4576568868425157
18,1.2452930918446294,1.4587833748923407
19,1.2381714714898004,1.4188158048523798
20,1.250410932081717,1.4234584503703647
21,1.2408378963117246,1.490727100107405
22,1.2311945182305795,1.400489608446757
23,1.2355202193613406,1.3956832355923123
24,1.2330778947582952,1.406371487511529
25,1.2203639149665833,1.4272988107469347
26,1.2073343948081687,1.3976158433490329
27,1.197460443885238,1.4451091554429796
28,1.2074114746517606,1.4643744495179918
29,1.1936532932299155,1.4116063316663106
30,1.1876299866923579,1.4573633074760437
31,1.1785733456964846,1.4712524480289884
32,1.1853600828735917,1.4273469779226515
33,1.2051979733837976,1.4205842547946506
34,1.1819266125007912,1.4619931313726637
35,1.1756560614815466,1.4317870338757832
36,1.1516700199356786,1.4158894287215338
37,1.158445597798736,1.4731714261902704
38,1.184147122833464,1.4244163036346436
39,1.160042906249011,1.4106756912337408
40,1.1644534556953996,1.3955899410777621
