epoch,train_ce,val_ce
1,1.3739301247729196,
2,1.3260535250107448,
3,1.270288238922755,
4,1.2171016666624281,
5,1.1853835499948926,
6,1.156895296441184,
7,1.1380877825948927,
8,1.1310387369659212,
9,1.1140761499603589,
10,1.1056585750646062,
11,1.0984088861280017,
12,1.085891404085689,
13,1.0894185428818066,
14,1.080810819235113,
15,1.0676317455040083,
16,1.0587688187758129,
17,1.0606006913714938,
18,1.0500612374809053,
19,1.046332276529736,
20,1.033522645632426,
21,1.0462866922219594,
22,1.0286348031626806,
23,1.0355804901984003,
24,1.0358998932772212,
25,1.0258066430687904,
26,1.0169937850700483,
27,1.0192049195369084,
