epoch,train_ce,val_ce
1,1.3895893273530182,1.3770269023047552
2,1.3626098080917641,1.3579160504870944
3,1.336835519031242,1.3467246625158522
4,1.3097138117860865,1.3381978803210788
5,1.2927979584093447,1.3478091756502788
6,1.2730629797335025,1.311777585082584
7,1.2669012436160334,1.3402044905556574
8,1.2616123888227675,1.3349118034044902
9,1.2453152691876446,1.336693737241957
10,1.2423174226725544,1.34223339955012
11,1.2517319189177618,1.3432637717988756
12,1.2396641197027984,1.3210337956746419
13,1.2328301027969077,1.3622781766785517
14,1.22326331226914,1.357123116652171
15,1.2255729304419622,1.3405097193188138
16,1.2233034681390833,1.3453224566247728
17,1.2169451316197712,1.3120129770702786
18,1.2095529150079798,1.3263438608911302
19,1.2095045579804315,1.3353680703375075
20,1.2043304730344702,1.3287831544876099
21,1.2049789097574022,1.3170609010590448
22,1.1921807571693703,1.309800214237637
23,1.2053360762419525,1.3274999459584553
24,1.2058231543611597,1.3205597036414676
25,1.188838086746357,1.356080989042918
26,1.1898728101341813,1.3237830168671079
27,1.1758107035248369,1.3249890440040164
28,1.1786617791211162,1.3188561929596796
29,1.1787319978078206,1.3365428315268622
30,1.1707749388836048,1.3400950299368963
31,1.1732980012893677,1.3255844447347853
32,1.1679584516419306,1.356180316872067
33,1.1837248934639826,1.3290121422873602
34,1.1620425780614216,1.3003093401590984
35,1.1629622203332406,1.3119966950681474
36,1.1806143676793133,1.3148298329777188
37,1.1654541536613747,1.3390253252453275
38,1.1561610941533689,1.348525043990877
39,1.156137361570641,1.327715708149804
40,1.1707406088157937,1.3275036215782166
