epoch,train_ce,val_ce
1,1.354197500480546,
2,1.2611764354838266,
3,1.1880355113082461,
4,1.1424833784500759,
5,1.1210726747910182,
6,1.0968841595782175,
7,1.0709628098540835,
8,1.0634562596678734,
9,1.0504500758316782,
10,1.0444671793116465,
11,1.0441714566614893,
12,1.0408387059966724,
13,1.0122559385167227,
14,1.0282545685768127,
15,1.0196499451994896,
16,1.009009717239274,
17,1.009978507955869,
18,1.0056995732916727,
19,0.991038960715135,
20,1.0023602288630273,
21,0.9986200291249487,
22,0.9856720682647493,
23,0.991305855413278,
24,0.9942860561940405,
25,0.9742434074481329,
26,0.9843484461307526,
