training_policy,model,subject,test_stratum,n_test,n_left,n_right,balanced_accuracy,accuracy,macro_f1,cohen_kappa
all_trials,CSP4+shrinkageLDA,1,clean,279,140,139,0.5324254881808839,0.5340501792114696,0.41226989888514387,0.06506160746507172
all_trials,CSP4+shrinkageLDA,1,flagged,9,4,5,0.5,0.4444444444444444,0.3076923076923077,0.0
all_trials,CSP4+shrinkageLDA,1,all,288,144,144,0.53125,0.53125,0.4089658422388763,0.0625
all_trials,CSP4+shrinkageLDA,2,clean,278,138,140,0.5235507246376812,0.5215827338129496,0.48402852398163526,0.046914471309996375
all_trials,CSP4+shrinkageLDA,2,flagged,10,6,4,0.625,0.7,0.6000000000000001,0.2857142857142857
all_trials,CSP4+shrinkageLDA,2,all,288,144,144,0.5277777777777778,0.5277777777777778,0.4882943143812709,0.05555555555555558
all_trials,CSP4+shrinkageLDA,3,clean,274,136,138,0.6774829497016198,0.6751824817518248,0.6405948327953899,0.3533280297003447
all_trials,CSP4+shrinkageLDA,3,flagged,14,8,6,0.6875,0.7142857142857143,0.6888888888888889,0.3913043478260869
all_trials,CSP4+shrinkageLDA,3,all,288,144,144,0.6770833333333334,0.6770833333333334,0.6429894832251443,0.35416666666666663
all_trials,CSP4+shrinkageLDA,4,clean,245,121,124,0.629365502532658,0.6285714285714286,0.6273546273546273,0.2582920256828237
all_trials,CSP4+shrinkageLDA,4,flagged,43,23,20,0.6760869565217391,0.6744186046511628,0.6742424242424242,0.3498920086393088
all_trials,CSP4+shrinkageLDA,4,all,288,144,144,0.6354166666666667,0.6354166666666666,0.6344249809596345,0.27083333333333337
all_trials,CSP4+shrinkageLDA,5,clean,264,133,131,0.517620386844975,0.5189393939393939,0.5031932075807193,0.03533202900218668
all_trials,CSP4+shrinkageLDA,5,flagged,24,11,13,0.24475524475524477,0.25,0.24475524475524477,-0.5104895104895106
all_trials,CSP4+shrinkageLDA,5,all,288,144,144,0.4965277777777778,0.4965277777777778,0.48392837281726175,-0.00694444444444442
