fold_id,training_policy,model,n_train,n_test_clean,n_test_flagged,n_features,csp_fit_transform_seconds_shared,classifier_seconds,balanced_accuracy,accuracy,macro_f1,cohen_kappa
loso_s1,expert_clean_only,CSP4+shrinkageLDA,2067,279,9,4,3.056415200000629,0.005949600003077649,0.5359969167523124,0.5376344086021505,0.4143710236425468,0.07222952594540266
loso_s1,expert_clean_only,WelchPSD88+shrinkageLDA,2067,279,9,88,3.056415200000629,0.011564400003408082,0.6449383350462488,0.6451612903225806,0.6436781609195402,0.2900033416446033
loso_s1,expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,2067,279,9,92,3.056415200000629,0.011734500003512949,0.6335046248715314,0.6344086021505376,0.6090934065934066,0.2674903474903475
loso_s1,all_trials,CSP4+shrinkageLDA,2304,279,9,4,2.8077209000039147,0.004384299987577833,0.5324254881808839,0.5340501792114696,0.41226989888514387,0.06506160746507172
loso_s1,all_trials,WelchPSD88+shrinkageLDA,2304,279,9,88,2.8077209000039147,0.009870800000499003,0.6413926002055499,0.6415770609318996,0.6405380333951762,0.2828869583097723
loso_s1,all_trials,CSP4+WelchPSD88+shrinkageLDA,2304,279,9,92,2.8077209000039147,0.012703799991868436,0.6407245632065776,0.6415770609318996,0.6196422728759952,0.2819272147011891
loso_s2,expert_clean_only,CSP4+shrinkageLDA,2068,278,10,4,2.647512800002005,0.003950199999962933,0.5057971014492754,0.5035971223021583,0.45372216210058663,0.011542821807688286
loso_s2,expert_clean_only,WelchPSD88+shrinkageLDA,2068,278,10,88,2.647512800002005,0.009668700004112907,0.4740683229813665,0.4748201438848921,0.4686321742773356,-0.05193862741032551
loso_s2,expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,2068,278,10,92,2.647512800002005,0.01189939999312628,0.5382505175983436,0.5359712230215827,0.4855913361543427,0.07615023957957645
loso_s2,all_trials,CSP4+shrinkageLDA,2304,278,10,4,2.874312599989935,0.004421000005095266,0.5235507246376812,0.5215827338129496,0.48402852398163526,0.046914471309996375
loso_s2,all_trials,WelchPSD88+shrinkageLDA,2304,278,10,88,2.874312599989935,0.010226300000795163,0.4881469979296066,0.4892086330935252,0.47727754237288134,-0.023755186721991617
loso_s2,all_trials,CSP4+WelchPSD88+shrinkageLDA,2304,278,10,92,2.874312599989935,0.01391600001079496,0.5272774327122153,0.5251798561151079,0.4823091247672253,0.05432429646428205
loso_s3,expert_clean_only,CSP4+shrinkageLDA,2072,274,14,4,2.8111084999982268,0.004527700002654456,0.720961210571185,0.718978102189781,0.6975067027972529,0.4401634559252773
loso_s3,expert_clean_only,WelchPSD88+shrinkageLDA,2072,274,14,88,2.8111084999982268,0.014494399991235696,0.6669330775788576,0.6678832116788321,0.6617146268332723,0.33448993754337264
loso_s3,expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,2072,274,14,92,2.8111084999982268,0.020452900003874674,0.7785592497868712,0.7773722627737226,0.7717508569243585,0.5557858927337479
