fold,subject,model,stratum,true_label,predicted_label,count
loso_s1,1,FBCSP_LDA,all,1,1,136
loso_s1,1,FBCSP_LDA,all,1,2,8
loso_s1,1,FBCSP_LDA,all,1,3,0
loso_s1,1,FBCSP_LDA,all,1,4,0
loso_s1,1,FBCSP_LDA,all,2,1,49
loso_s1,1,FBCSP_LDA,all,2,2,95
loso_s1,1,FBCSP_LDA,all,2,3,0
loso_s1,1,FBCSP_LDA,all,2,4,0
loso_s1,1,FBCSP_LDA,all,3,1,45
loso_s1,1,FBCSP_LDA,all,3,2,55
loso_s1,1,FBCSP_LDA,all,3,3,44
loso_s1,1,FBCSP_LDA,all,3,4,0
loso_s1,1,FBCSP_LDA,all,4,1,62
loso_s1,1,FBCSP_LDA,all,4,2,59
loso_s1,1,FBCSP_LDA,all,4,3,20
loso_s1,1,FBCSP_LDA,all,4,4,3
loso_s1,1,FBCSP_LDA,unflagged,1,1,132
loso_s1,1,FBCSP_LDA,unflagged,1,2,8
loso_s1,1,FBCSP_LDA,unflagged,1,3,0
loso_s1,1,FBCSP_LDA,unflagged,1,4,0
loso_s1,1,FBCSP_LDA,unflagged,2,1,47
loso_s1,1,FBCSP_LDA,unflagged,2,2,92
loso_s1,1,FBCSP_LDA,unflagged,2,3,0
loso_s1,1,FBCSP_LDA,unflagged,2,4,0
loso_s1,1,FBCSP_LDA,unflagged,3,1,41
loso_s1,1,FBCSP_LDA,unflagged,3,2,53
loso_s1,1,FBCSP_LDA,unflagged,3,3,43
loso_s1,1,FBCSP_LDA,unflagged,3,4,0
loso_s1,1,FBCSP_LDA,unflagged,4,1,59
loso_s1,1,FBCSP_LDA,unflagged,4,2,56
loso_s1,1,FBCSP_LDA,unflagged,4,3,20
loso_s1,1,FBCSP_LDA,unflagged,4,4,3
loso_s1,1,FBCSP_LDA,flagged,1,1,4
loso_s1,1,FBCSP_LDA,flagged,1,2,0
loso_s1,1,FBCSP_LDA,flagged,1,3,0
loso_s1,1,FBCSP_LDA,flagged,1,4,0
loso_s1,1,FBCSP_LDA,flagged,2,1,2
loso_s1,1,FBCSP_LDA,flagged,2,2,3
loso_s1,1,FBCSP_LDA,flagged,2,3,0
loso_s1,1,FBCSP_LDA,flagged,2,4,0
loso_s1,1,FBCSP_LDA,flagged,3,1,4
loso_s1,1,FBCSP_LDA,flagged,3,2,2
loso_s1,1,FBCSP_LDA,flagged,3,3,1
loso_s1,1,FBCSP_LDA,flagged,3,4,0
loso_s1,1,FBCSP_LDA,flagged,4,1,3
loso_s1,1,FBCSP_LDA,flagged,4,2,3
loso_s1,1,FBCSP_LDA,flagged,4,3,0
loso_s1,1,FBCSP_LDA,flagged,4,4,0
loso_s1,1,FBCSP_MI8_LDA,all,1,1,103
loso_s1,1,FBCSP_MI8_LDA,all,1,2,40
loso_s1,1,FBCSP_MI8_LDA,all,1,3,1
loso_s1,1,FBCSP_MI8_LDA,all,1,4,0
loso_s1,1,FBCSP_MI8_LDA,all,2,1,61
loso_s1,1,FBCSP_MI8_LDA,all,2,2,82
loso_s1,1,FBCSP_MI8_LDA,all,2,3,1
loso_s1,1,FBCSP_MI8_LDA,all,2,4,0
loso_s1,1,FBCSP_MI8_LDA,all,3,1,86
loso_s1,1,FBCSP_MI8_LDA,all,3,2,40
loso_s1,1,FBCSP_MI8_LDA,all,3,3,14
loso_s1,1,FBCSP_MI8_LDA,all,3,4,4
loso_s1,1,FBCSP_MI8_LDA,all,4,1,115
loso_s1,1,FBCSP_MI8_LDA,all,4,2,18
loso_s1,1,FBCSP_MI8_LDA,all,4,3,8
loso_s1,1,FBCSP_MI8_LDA,all,4,4,3
loso_s1,1,FBCSP_MI8_LDA,unflagged,1,1,100
loso_s1,1,FBCSP_MI8_LDA,unflagged,1,2,39
loso_s1,1,FBCSP_MI8_LDA,unflagged,1,3,1
loso_s1,1,FBCSP_MI8_LDA,unflagged,1,4,0
loso_s1,1,FBCSP_MI8_LDA,unflagged,2,1,59
loso_s1,1,FBCSP_MI8_LDA,unflagged,2,2,79
loso_s1,1,FBCSP_MI8_LDA,unflagged,2,3,1
loso_s1,1,FBCSP_MI8_LDA,unflagged,2,4,0
loso_s1,1,FBCSP_MI8_LDA,unflagged,3,1,82
loso_s1,1,FBCSP_MI8_LDA,unflagged,3,2,39
loso_s1,1,FBCSP_MI8_LDA,unflagged,3,3,12
loso_s1,1,FBCSP_MI8_LDA,unflagged,3,4,4
loso_s1,1,FBCSP_MI8_LDA,unflagged,4,1,111
loso_s1,1,FBCSP_MI8_LDA,unflagged,4,2,17
loso_s1,1,FBCSP_MI8_LDA,unflagged,4,3,7
loso_s1,1,FBCSP_MI8_LDA,unflagged,4,4,3
loso_s1,1,FBCSP_MI8_LDA,flagged,1,1,3
loso_s1,1,FBCSP_MI8_LDA,flagged,1,2,1
loso_s1,1,FBCSP_MI8_LDA,flagged,1,3,0
loso_s1,1,FBCSP_MI8_LDA,flagged,1,4,0
loso_s1,1,FBCSP_MI8_LDA,flagged,2,1,2
loso_s1,1,FBCSP_MI8_LDA,flagged,2,2,3
loso_s1,1,FBCSP_MI8_LDA,flagged,2,3,0
loso_s1,1,FBCSP_MI8_LDA,flagged,2,4,0
loso_s1,1,FBCSP_MI8_LDA,flagged,3,1,4
loso_s1,1,FBCSP_MI8_LDA,flagged,3,2,1
loso_s1,1,FBCSP_MI8_LDA,flagged,3,3,2
