fold,subject,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa
loso_s3,3,FBCSP_MI8_LDA,all,4608,576,4,0.3559027777777778,0.3559027777777778,0.2825179892641364,0.4025090504037872,0.3559027777777778,0.14120370370370372
loso_s3,3,FBCSP_MI8_LDA,unflagged,4608,543,4,0.3567265795206972,0.3572744014732965,0.28145439227536484,0.4017673059634402,0.3567265795206972,0.14286295812169547
loso_s3,3,FBCSP_MI8_LDA,flagged,4608,33,4,0.35416666666666663,0.3333333333333333,0.31000948766603414,0.40896739130434784,0.35416666666666663,0.11571254567600475
loso_s4,4,BroadCSP_LDA,all,4608,576,4,0.390625,0.390625,0.34200939011514625,0.4201237139683355,0.390625,0.1875
loso_s4,4,BroadCSP_LDA,unflagged,4608,490,4,0.3948058917870889,0.39591836734693875,0.3435143834824659,0.4225037382595287,0.3948058917870889,0.19371157288504937
loso_s4,4,BroadCSP_LDA,flagged,4608,86,4,0.35745169082125605,0.36046511627906974,0.32231270244366556,0.39166666666666666,0.35745169082125605,0.15004492362982924
loso_s4,4,BroadCSP_SVM,all,4608,576,4,0.36979166666666663,0.3697916666666667,0.3038746722708987,0.5174220272904484,0.36979166666666663,0.1597222222222222
loso_s4,4,BroadCSP_SVM,unflagged,4608,490,4,0.37588306672531274,0.37755102040816324,0.30797392976242455,0.5283782877079979,0.37588306672531274,0.16873856285493383
loso_s4,4,BroadCSP_SVM,flagged,4608,86,4,0.33210144927536234,0.32558139534883723,0.27770248327523867,0.4717060810810811,0.33210144927536234,0.11039771713929036
loso_s4,4,FBCSP_LDA,all,4608,576,4,0.3940972222222222,0.3940972222222222,0.3737450417936163,0.4285917705946572,0.3940972222222222,0.19212962962962965
loso_s4,4,FBCSP_LDA,unflagged,4608,490,4,0.3889205953420202,0.38571428571428573,0.3677130211950281,0.4252204821845015,0.3889205953420202,0.18341019948288362
loso_s4,4,FBCSP_LDA,flagged,4608,86,4,0.42629227053140095,0.4418604651162791,0.41006030701754387,0.4753663003663004,0.42629227053140095,0.24945454545454537
