subject,experiment,selected_epoch,selected_mean_val_ce,margin_to_second_best,inner_optimum_epochs,inner_optimum_epoch_range,inner_optimum_epoch_std,near_min_001_count,near_min_005_count,near_min_005_earliest,near_min_005_latest,near_min_005_span,CE_epoch_1,CE_epoch_2,CE_epoch_8,CE_epoch_16,CE_epoch_24,CE_epoch_40,CE16_minus_selected,CE40_minus_selected
2,Q5,1,1.3780282023880217,0.008571179376708038,"24,1,5,9",23,10.04572877727976,1,1,1,1,0,1.3780282023880217,1.3865993817647297,1.5336967565947108,1.4502326622605322,1.5792036611172886,1.7576760782135858,0.07220445987251045,0.37964787582556414
2,Q6,1,1.3860809852679572,0.012357499864366295,"24,1,5,9",23,10.04572877727976,1,1,1,1,0,1.3860809852679572,1.40125153793229,1.5230354459749327,1.4325668381320105,1.5509296589427524,1.6870770727594693,0.04648585286405327,0.3009960874915121
3,Q5,2,1.3805232942104337,0.002219604121314278,"12,1,6,20",19,8.180260794538684,1,2,1,2,1,1.382742898331748,1.3805232942104337,1.4293163600895138,1.4066173608104389,1.4682629803816478,1.552279761268033,0.026094066600005128,0.17175646705759928
3,Q6,16,1.3858868189983897,0.000731538567278367,"24,1,6,19",23,10.785793124908958,2,4,1,16,15,1.386618357565668,1.3883044868707657,1.441049627131886,1.3858868189983897,1.431344647374418,1.5301535005370777,0.0,0.14426668153868794
8,Q5,1,1.3810226072867713,0.0004571874936420972,"22,24,1,26",25,11.615363389350618,2,2,1,2,1,1.3810226072867713,1.3814797947804134,1.435709139539136,1.4919015599621666,1.6070623041854963,1.6349847705827818,0.11087895267539527,0.2539621632960105
8,Q6,1,1.3862125989463594,0.006776149074236404,"17,28,1,26",27,12.30176139149729,1,1,1,1,0,1.3862125989463594,1.3929887480205958,1.4404171150591636,1.4959792105687988,1.5911961297194162,1.641186883880032,0.10976661162243939,0.2549742849336727
