condition,condition_name,source_experiment,normalization,fixed_epochs,BA_mean,BA_seed_std,macroF1_mean,kappa_mean,entropy_mean,dominant_share_mean
A,Raw_plus_2epochs,Q5-E001,False,2,0.2609953703703704,0.0160375074774896,0.1254097865745587,0.0146604938271604,0.130434889674811,0.941550925925926
B,SourceNorm_plus_2epochs,Q7-E001,True,2,0.2569444444444444,0.0060140653040586,0.1171566136156904,0.0092592592592592,0.0826934944080575,0.9751157407407408
C,Raw_plus_16epochs,Q7-E001,False,16,0.6770833333333334,0.0539033843620139,0.6715320154151133,0.5694444444444445,0.9561033608809508,0.3668981481481481
D,SourceNorm_plus_16epochs,Q6-E001,True,16,0.6585648148148148,0.0971653686279052,0.6501925771569642,0.5447530864197531,0.9036972861846048,0.4386574074074074
