experiment,subject,fold,selected_epoch,selected_mean_val_ce,selected_fold_sd,selected_fold_sem,selected_mean_train_ce,second_best_mean_val_ce,margin_to_second_best,early_selection_le_2,early_selection_le_5,boundary_epoch_40,inner_optimum_epoch_1,inner_optimum_epoch_2,inner_optimum_epoch_3,inner_optimum_epoch_4,inner_optimum_epoch_mean,inner_optimum_epoch_median,inner_optimum_epoch_std,inner_optimum_epoch_min,inner_optimum_epoch_max,inner_optimum_epoch_range,inner_optimum_epoch_iqr,inner_optima_within_selected_pm2,inner_optima_within_selected_pm5,selected_fold_regret_mean,selected_fold_regret_max,near_min_001_count,near_min_001_earliest,near_min_001_latest,near_min_001_span,near_min_0025_count,near_min_0025_earliest,near_min_0025_latest,near_min_0025_span,near_min_005_count,near_min_005_earliest,near_min_005_latest,near_min_005_span,near_min_01_count,near_min_01_earliest,near_min_01_latest,near_min_01_span,mean_val_ce_epoch_1,delta_ce_epoch_1_minus_selected,mean_val_ce_epoch_2,delta_ce_epoch_2_minus_selected,mean_val_ce_epoch_4,delta_ce_epoch_4_minus_selected,mean_val_ce_epoch_8,delta_ce_epoch_8_minus_selected,mean_val_ce_epoch_12,delta_ce_epoch_12_minus_selected,mean_val_ce_epoch_16,delta_ce_epoch_16_minus_selected,mean_val_ce_epoch_20,delta_ce_epoch_20_minus_selected,mean_val_ce_epoch_24,delta_ce_epoch_24_minus_selected,mean_val_ce_epoch_32,delta_ce_epoch_32_minus_selected,mean_val_ce_epoch_40,delta_ce_epoch_40_minus_selected
Q5,1,loso_s1,27,1.366887339287334,0.18249030763383298,0.09124515381691649,0.9930983806649843,1.3760243472125795,0.009137007925245522,False,False,False,30,1,4,27,15.5,15.5,15.110702608857515,1,30,29,24.5,1,2,0.08406029641628271,0.1590243776639304,1,27,27,0,1,27,27,0,1,27,27,0,2,6,27,21,1.3820015274816089,0.015114188194274902,1.3801917748318777,0.013304435544543747,1.3892549259795082,0.0223675866921742,1.4133019753628306,0.046414636075496674,1.3862557460864382,0.019368406799104232,1.429426374534766,0.06253903524743198,1.5478783249855042,0.18099098569817018,1.431977784468068,0.06509044518073392,1.4618758244646919,0.09498848517735792,1.4575042103727656,0.0906168710854316
Q5,2,loso_s2,1,1.3780282023880217,0.009875225673815222,0.004937612836907611,1.3770581367943022,1.3865993817647297,0.008571179376708038,True,True,False,24,1,5,9,9.75,7.0,10.04572877727976,1,24,23,8.75,1,2,0.17884325070513607,0.3765993217627206,1,1,1,0,1,1,1,0,1,1,1,0,2,1,2,1,1.3780282023880217,0.0,1.3865993817647297,0.008571179376708038,1.439038531647788,0.06101032925976635,1.5336967565947108,0.15566855420668912,1.4229268944925733,0.04489869210455155,1.4502326622605322,0.07220445987251045,1.55619722025262,0.17816901786459827,1.5792036611172886,0.2011754587292669,1.5697105543480978,0.1916823519600761,1.7576760782135858,0.37964787582556414
Q5,3,loso_s3,2,1.3805232942104337,0.026504195247569542,0.013252097623784771,1.3459877443534358,1.382742898331748,0.002219604121314278,True,True,False,12,1,6,20,9.75,9.0,8.180260794538684,1,20,19,9.25,1,2,0.07576007478766955,0.13224686516655804,1,2,2,0,2,1,2,1,2,1,2,1,3,1,3,2,1.382742898331748,0.002219604121314278,1.3805232942104337,0.0,1.3992837849590514,0.01876049074861763,1.4293163600895138,0.048793065879080055,1.4157874402072692,0.03526414599683547,1.4066173608104389,0.026094066600005128,1.4475284814834595,0.06700518727302573,1.4682629803816478,0.08773968617121408,1.4899536247054737,0.10943033049503992,1.552279761268033,0.17175646705759928
Q5,4,loso_s4,10,1.2883654783169427,0.13641044755136672,0.06820522377568336,1.050461569318065,1.3051995626754231,0.01683408435848044,False,False,False,13,34,4,12,15.75,12.5,12.816005617976296,4,34,30,8.25,1,2,0.05242991695801408,0.0913474493556552,1,10,10,0,1,10,10,0,1,10,10,0,1,10,10,0,1.380416954557101,0.0920514762401583,1.3778720315959718,0.08950655327902912,1.3708975778685677,0.082532099551625,1.3940926566720009,0.10572717835505818,1.3104557659890916,0.022090287672148934,1.3158081960346963,0.02744271771775364,1.4175738270084064,0.1292083486914637,1.4475780410899057,0.15921256277296303,1.4004070593251121,0.11204158100816941,1.4746931402219667,0.18632766190502403
Q5,5,loso_s5,13,1.290015361375279,0.24003451416151395,0.12001725708075697,0.9634553646599806,1.2976052231258817,0.007589861750602722,False,False,False,19,36,1,7,15.75,13.0,15.435349040433131,1,36,35,17.75,0,0,0.12144610120190519,0.24340989192326878,1,13,13,0,1,13,13,0,1,13,13,0,2,12,13,1,1.378649190068245,0.08863382869296599,1.376954343583849,0.08693898220856999,1.4138336065742705,0.12381824519899154,1.4238212588760588,0.13380589750077987,1.2976052231258817,0.007589861750602722,1.3158166251248784,0.025801263749599457,1.4357346644004187,0.1457193030251398,1.464560470647282,0.17454510927200295,1.6132779659496412,0.3232626045743623,1.5380210570163197,0.2480056956410408
Q5,6,loso_s6,7,1.3374005009730656,0.224981400725168,0.112490700362584,1.0820981410366517,1.3682967639631696,0.03089626299010395,False,False,False,16,15,1,5,9.25,10.0,7.41057802513857,1,16,15,11.25,1,1,0.10954989410108973,0.2791121072239342,1,7,7,0,1,7,7,0,1,7,7,0,1,7,7,0,1.377167057659891,0.03976655668682527,1.3777497626013226,0.04034926162825703,1.3926334497001438,0.05523294872707818,1.4413010535968676,0.10390055262380193,1.476183587478267,0.13878308650520133,1.464855518605974,0.12745501763290834,1.5093791377213266,0.17197863674826097,1.5833970573213367,0.2459965563482711,1.7410811401075785,0.4036806391345129,1.6024349100059931,0.2650344090329275
Q5,7,loso_s7,6,1.3188709682888455,0.18917111108260917,0.09458555554130459,1.139113598951587,1.3228754368093278,0.004004468520482307,False,False,False,15,35,1,23,18.5,19.0,14.27118308573843,1,35,34,14.5,0,1,0.12667952312363523,0.20723619063695287,1,6,6,0,1,6,6,0,2,6,7,1,2,6,7,1,1.3796660237842135,0.06079505549536801,1.378543395135138,0.05967242684629248,1.3768321176369986,0.05796114934815311,1.357340509692828,0.0384695414039824,1.4036927347381911,0.08482176644934558,1.3751296169228022,0.05625864863395669,1.4220114391711023,0.10314047088225675,1.5403800018959577,0.22150903360711216,1.5086450121468966,0.18977404385805108,1.5883081017269027,0.2694371334380572
Q5,8,loso_s8,1,1.3810226072867713,0.006017356931769212,0.003008678465884606,1.3826573684259698,1.3814797947804134,0.0004571874936420972,True,True,False,22,24,1,26,18.25,23.0,11.615363389350618,1,26,25,7.75,1,1,0.1426222970088325,0.2870094345675578,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1.3810226072867713,0.0,1.3814797947804134,0.0004571874936420972,1.3991818030675254,0.01815919578075409,1.435709139539136,0.05468653225236464,1.4978075962927606,0.11678498900598933,1.4919015599621666,0.11087895267539527,1.5230624882711303,0.14203988098435905,1.6070623041854963,0.22603969689872505,1.617030057642195,0.2360074503554237,1.6349847705827818,0.2539621632960105
Q5,9,loso_s9,7,1.3345703317059412,0.2140724565449271,0.10703622827246355,1.1703858411422483,1.3598338464895885,0.0252635147836473,False,False,False,13,15,1,23,13.0,14.0,9.092121131323903,1,23,22,7.0,0,0,0.11390980001952944,0.26613232824537536,1,7,7,0,1,7,7,0,1,7,7,0,1,7,7,0,1.382725374566184,0.04815504286024286,1.3822006732225418,0.047630341516600616,1.3896377219094171,0.05506739020347595,1.3598338464895885,0.0252635147836473,1.4505171676476798,0.1159468359417386,1.5537166595458987,0.21914632783995747,1.5501080660356417,0.21553773432970047,1.6835099673933451,0.34893963568740394,1.6729495194223192,0.338379187716378,1.803732251127561,0.4691619194216199
Q6,1,loso_s1,27,1.3699463829398155,0.16251104550544052,0.08125552275272026,0.9921786732695721,1.381568099061648,0.011621716121832382,False,False,False,24,1,6,27,14.5,15.0,12.922847983320086,1,27,26,20.0,1,2,0.08046729117631912,0.12800077597300197,1,27,27,0,1,27,27,0,1,27,27,0,1,27,27,0,1.386298558778233,0.016352175838417526,1.3882236795292962,0.01827729658948063,1.3933610866467159,0.023414703706900353,1.4177502294381459,0.04780384649833036,1.3990873330169253,0.029140950077109817,1.4355925594766936,0.0656461765368781,1.5397951735390556,0.16984879059924007,1.4104828106032476,0.04053642766343213,1.4534059448374643,0.0834595618976488,1.4398229055934484,0.06987652265363287
