fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa
loso_s8,8,20260925,EEGNet,all,4608,576,4,0.2864583333333333,0.2864583333333333,0.21425230062458955,0.37701737179458417,0.2864583333333333,0.04861111111111116
loso_s8,8,20260925,EEGNet,unflagged,4608,535,4,0.28292639272376807,0.2803738317757009,0.20886780773262348,0.3702243802211446,0.28292639272376807,0.0436847676707649
loso_s8,8,20260925,EEGNet,flagged,4608,41,4,0.3331439393939394,0.36585365853658536,0.28104575163398693,0.4964285714285714,0.3331439393939394,0.11900826446280988
