subject,model,seed,n_trials,balanced_accuracy,tn_fp_fn_tp,prediction_sha256
2,MU_BETA_SHARED,20260926,288,0.5486111111111112,"[131, 13, 117, 27]",0648d28951fce91aadbf962cb3426dc69a3f09c26e3167ee4dae77bb83c4e2f2
3,MU_BETA_SHARED,20260924,288,0.8680555555555556,"[141, 3, 35, 109]",07e2ae2648af245a6e2c937285bea32c3b32e107635044e385731e4fa8c77912
3,MU_BETA_SHARED,20260925,288,0.8125,"[144, 0, 54, 90]",0bee00e2b072b91fec85addaa4818480262e0cd3db462ad4069bd9212643a30c
3,MU_BETA_SHARED,20260926,288,0.84375,"[143, 1, 44, 100]",85e5be601d84df6d7870a5a08838b6628a2ac27c734833542a5ff816ec92200d
4,MU_BETA_SHARED,20260924,288,0.5625,"[21, 123, 3, 141]",1ff5850beba4473fa98fdde27cb993791397701540bec62a6d96753d533ac3fc
4,MU_BETA_SHARED,20260925,288,0.5243055555555556,"[9, 135, 2, 142]",aae5555e7fa2d5c04ed9c4e31a19d4133d6453b1b9ed523899b100d8aa875ab4
4,MU_BETA_SHARED,20260926,288,0.625,"[45, 99, 9, 135]",90ed95f6bcf2962891f2c82e5c6e07cfd4495fbadc2435aabed1404f756aa228
5,MU_BETA_SHARED,20260924,288,0.4930555555555555,"[101, 43, 103, 41]",07ed5ca053c5890943d3da6f4abf21ea6cd64b186a4a6f85dc1aa529cb6166f1
5,MU_BETA_SHARED,20260925,288,0.5138888888888888,"[139, 5, 135, 9]",4674be59763787efad8fd2d01ea054debd0f4929d6d0e6a53e10c1eb57ea9df4
5,MU_BETA_SHARED,20260926,288,0.4965277777777778,"[142, 2, 143, 1]",2e6665c6ddce1d25864ca8736580728290783f006ce16b9e43474900c523e8ff
6,MU_BETA_SHARED,20260924,288,0.65625,"[75, 69, 30, 114]",607135f596a57d030513c2132a0b67ca69d1f3a1f900386951ef24f6172b04a1
6,MU_BETA_SHARED,20260925,288,0.6527777777777778,"[61, 83, 17, 127]",c28c06b58dab04bcc2b52bf5f8448c712392c0ea3c2f988b986fcc85c1da8627
6,MU_BETA_SHARED,20260926,288,0.7256944444444444,"[111, 33, 46, 98]",612c6a8712dab63272a3326c54e61ff118e4ec65b4176710a868973450a5a70a
7,MU_BETA_SHARED,20260924,288,0.5763888888888888,"[128, 16, 106, 38]",616f0ed1d21d92eada266afe3633d0aea216633998931e2204ad4232ff97fd44
7,MU_BETA_SHARED,20260925,288,0.5208333333333334,"[89, 55, 83, 61]",354cfb1d84bff680f7314473badcd142ccf37251923d426726ab63f9180ac884
7,MU_BETA_SHARED,20260926,288,0.5347222222222222,"[57, 87, 47, 97]",dc04465942dde8d7125b6337d5630afdedc6fc109c7ba1d4053b668081c42bff
8,MU_BETA_SHARED,20260924,288,0.9409722222222222,"[131, 13, 4, 140]",fded2c3a4ee3d6c70096dd2725fa2b8f07c1a6a77c8f1a6a39afaf324a10822e
8,MU_BETA_SHARED,20260925,288,0.9340277777777778,"[127, 17, 2, 142]",6630da8bfbb2be75da5e1ee2ec151142538f0f3aabef7c41727e0ed6f44ef4d8
8,MU_BETA_SHARED,20260926,288,0.9340277777777778,"[125, 19, 0, 144]",7c22e69b1ebeb819074cb25b71b3df47a9999eee47a6cba03612d5b0276c60c6
9,MU_BETA_SHARED,20260924,288,0.6979166666666667,"[90, 54, 33, 111]",6bb078b34a8ebb84402a2074fb3f3a07dc15b8d78561e8443318b84c7b93f129
9,MU_BETA_SHARED,20260925,288,0.7291666666666667,"[98, 46, 32, 112]",054fde23b5d205226569ba6103338012f6fc05d8abb6d19b49be700b09f749ff
9,MU_BETA_SHARED,20260926,288,0.7222222222222223,"[106, 38, 42, 102]",1f7e0b82c670973f2e0cf3be740c4cb266b767e4c34c4db15c5eccede95f865e
1,CSP4_LDA,deterministic,288,0.53125,"[142, 2, 133, 11]",260ff218d43ab990a703ed8e84dd113b35d1aaa3e87b23fd5367f624e802f807
2,CSP4_LDA,deterministic,288,0.5277777777777778,"[116, 28, 108, 36]",21e510c284667dbb109012025cea192cbe39a447ea4154d2c50e4ac3c475ab51
3,CSP4_LDA,deterministic,288,0.6770833333333334,"[142, 2, 91, 53]",7bf5836ff53ee95301b1dffc136edb0feb5da767c1992d61cfc2e3813120d413
4,CSP4_LDA,deterministic,288,0.6319444444444444,"[98, 46, 60, 84]",300ca64f42e0cdf367ccd0a0fced7ad9eb692e787c3125558a5f1f8393def722
5,CSP4_LDA,deterministic,288,0.48958333333333337,"[90, 54, 93, 51]",9ef97f26931d1e5cfe826bc371e9d5e8df3d56de36269bcd1ba3c95a3607c688
6,CSP4_LDA,deterministic,288,0.5347222222222222,"[11, 133, 1, 143]",3989a59b1d57b6acf366f06eed52cafcc40b8bd069980499122b613a5c12aa13
7,CSP4_LDA,deterministic,288,0.5729166666666666,"[140, 4, 119, 25]",345c7134569c25ece7c82355ef7ab07e7ebdf3c8e321fc0b70498578210cc015
8,CSP4_LDA,deterministic,288,0.9236111111111112,"[141, 3, 19, 125]",acdf0e6792eb3a1441f699f140d77c89726168fce5625fd97dc25c2341ea7146
9,CSP4_LDA,deterministic,288,0.6493055555555556,"[97, 47, 54, 90]",c52fc580aabf7fb75d567910cf3ded59bd0efba5dde76f8387cc589ee09fb889
