epoch,train_ce,val_ce
1,1.371962265835868,
2,1.324532013800409,
3,1.2538006570604112,
4,1.200442898604605,
5,1.1476201034254498,
6,1.1284012719988823,
7,1.110093341105514,
8,1.092389105922646,
9,1.0808031840456858,
10,1.0682597044441435,
11,1.0617336862617068,
12,1.0644959194792643,
13,1.051079523232248,
14,1.0459600645634863,
15,1.0522400637467701,
16,1.0278000227279134,
17,1.0303144314222865,
18,1.0426930081513193,
19,1.0210232908527057,
20,1.0130423323975668,
21,1.0219459624754057,
22,1.022067528631952,
23,1.0155348570810423,
24,1.007348372704453,
25,1.004475514094035,
26,1.0100903850462701,
