fold,selected_epochs,validation_ce
loso_s1,27,1.366887339287334
loso_s2,1,1.3780282023880217
loso_s3,2,1.380523294210434
loso_s4,10,1.2883654783169427
loso_s5,13,1.290015361375279
loso_s6,7,1.3374005009730656
loso_s7,6,1.3188709682888455
loso_s8,1,1.3810226072867713
loso_s9,7,1.3345703317059412
