fold,subject,seed,stratum,true_label,predicted_label,count,selection_rule,selected_epochs,model
loso_s1,1,20260925,flagged,3,1,3,mean_rank,27,EEGNet
loso_s1,1,20260925,flagged,3,2,1,mean_rank,27,EEGNet
loso_s1,1,20260925,flagged,3,3,1,mean_rank,27,EEGNet
loso_s1,1,20260925,flagged,3,4,2,mean_rank,27,EEGNet
loso_s1,1,20260925,flagged,4,1,3,mean_rank,27,EEGNet
loso_s1,1,20260925,flagged,4,2,0,mean_rank,27,EEGNet
loso_s1,1,20260925,flagged,4,3,1,mean_rank,27,EEGNet
loso_s1,1,20260925,flagged,4,4,2,mean_rank,27,EEGNet
loso_s1,1,20260926,all,1,1,105,mean_rank,27,EEGNet
loso_s1,1,20260926,all,1,2,36,mean_rank,27,EEGNet
loso_s1,1,20260926,all,1,3,3,mean_rank,27,EEGNet
loso_s1,1,20260926,all,1,4,0,mean_rank,27,EEGNet
loso_s1,1,20260926,all,2,1,2,mean_rank,27,EEGNet
loso_s1,1,20260926,all,2,2,142,mean_rank,27,EEGNet
loso_s1,1,20260926,all,2,3,0,mean_rank,27,EEGNet
loso_s1,1,20260926,all,2,4,0,mean_rank,27,EEGNet
loso_s1,1,20260926,all,3,1,40,mean_rank,27,EEGNet
loso_s1,1,20260926,all,3,2,20,mean_rank,27,EEGNet
loso_s1,1,20260926,all,3,3,73,mean_rank,27,EEGNet
loso_s1,1,20260926,all,3,4,11,mean_rank,27,EEGNet
loso_s1,1,20260926,all,4,1,49,mean_rank,27,EEGNet
loso_s1,1,20260926,all,4,2,8,mean_rank,27,EEGNet
loso_s1,1,20260926,all,4,3,58,mean_rank,27,EEGNet
loso_s1,1,20260926,all,4,4,29,mean_rank,27,EEGNet
loso_s1,1,20260926,unflagged,1,1,102,mean_rank,27,EEGNet
loso_s1,1,20260926,unflagged,1,2,35,mean_rank,27,EEGNet
loso_s1,1,20260926,unflagged,1,3,3,mean_rank,27,EEGNet
loso_s1,1,20260926,unflagged,1,4,0,mean_rank,27,EEGNet
loso_s1,1,20260926,unflagged,2,1,1,mean_rank,27,EEGNet
loso_s1,1,20260926,unflagged,2,2,138,mean_rank,27,EEGNet
loso_s1,1,20260926,unflagged,2,3,0,mean_rank,27,EEGNet
loso_s1,1,20260926,unflagged,2,4,0,mean_rank,27,EEGNet
loso_s1,1,20260926,unflagged,3,1,37,mean_rank,27,EEGNet
loso_s1,1,20260926,unflagged,3,2,19,mean_rank,27,EEGNet
loso_s1,1,20260926,unflagged,3,3,70,mean_rank,27,EEGNet
loso_s1,1,20260926,unflagged,3,4,11,mean_rank,27,EEGNet
loso_s1,1,20260926,unflagged,4,1,47,mean_rank,27,EEGNet
loso_s1,1,20260926,unflagged,4,2,7,mean_rank,27,EEGNet
loso_s1,1,20260926,unflagged,4,3,56,mean_rank,27,EEGNet
loso_s1,1,20260926,unflagged,4,4,28,mean_rank,27,EEGNet
loso_s1,1,20260926,flagged,1,1,3,mean_rank,27,EEGNet
loso_s1,1,20260926,flagged,1,2,1,mean_rank,27,EEGNet
loso_s1,1,20260926,flagged,1,3,0,mean_rank,27,EEGNet
loso_s1,1,20260926,flagged,1,4,0,mean_rank,27,EEGNet
