fold,subject,selected_epochs,selection_rule,selected_mean_rank,inner_curve_source,selection_seed,max_candidate_epoch,target_result_used
loso_s1,1,27,mean_rank,10.75,Q5-E001,20260923,40,False
loso_s2,2,13,mean_rank,7.25,Q5-E001,20260923,40,False
loso_s3,3,10,mean_rank,10.5,Q5-E001,20260923,40,False
loso_s4,4,10,mean_rank,6.0,Q5-E001,20260923,40,False
loso_s5,5,17,mean_rank,11.5,Q5-E001,20260923,40,False
loso_s6,6,15,mean_rank,7.5,Q5-E001,20260923,40,False
loso_s7,7,16,mean_rank,7.5,Q5-E001,20260923,40,False
loso_s8,8,23,mean_rank,10.25,Q5-E001,20260923,40,False
loso_s9,9,9,mean_rank,5.5,Q5-E001,20260923,40,False
