fold,subject,stage,inner_fold,seed,selected_epochs,selection_rule,epoch,train_ce,val_ce
loso_s2,2,full,,20260924,13,mean_rank,10,1.0490133381552167,
loso_s2,2,full,,20260924,13,mean_rank,11,1.042502985232406,
loso_s2,2,full,,20260924,13,mean_rank,12,1.0271474611428049,
loso_s2,2,full,,20260924,13,mean_rank,13,1.0229392912652755,
loso_s2,2,full,,20260925,13,mean_rank,1,1.3725386410951614,
loso_s2,2,full,,20260925,13,mean_rank,2,1.3122655252615611,
loso_s2,2,full,,20260925,13,mean_rank,3,1.242986376086871,
loso_s2,2,full,,20260925,13,mean_rank,4,1.1808276540703244,
loso_s2,2,full,,20260925,13,mean_rank,5,1.1552849743101332,
loso_s2,2,full,,20260925,13,mean_rank,6,1.1335954773757193,
loso_s2,2,full,,20260925,13,mean_rank,7,1.1122768339183595,
loso_s2,2,full,,20260925,13,mean_rank,8,1.0802390823761625,
loso_s2,2,full,,20260925,13,mean_rank,9,1.073077446056737,
loso_s2,2,full,,20260925,13,mean_rank,10,1.061072102851338,
loso_s2,2,full,,20260925,13,mean_rank,11,1.0388336819079187,
loso_s2,2,full,,20260925,13,mean_rank,12,1.0383159841100376,
loso_s2,2,full,,20260925,13,mean_rank,13,1.027752427591218,
loso_s2,2,full,,20260926,13,mean_rank,1,1.3750671479437089,
loso_s2,2,full,,20260926,13,mean_rank,2,1.310945654908816,
loso_s2,2,full,,20260926,13,mean_rank,3,1.2284622639417648,
loso_s2,2,full,,20260926,13,mean_rank,4,1.165631779366069,
loso_s2,2,full,,20260926,13,mean_rank,5,1.1266876608133316,
loso_s2,2,full,,20260926,13,mean_rank,6,1.0975157254272037,
loso_s2,2,full,,20260926,13,mean_rank,7,1.0699355353911717,
loso_s2,2,full,,20260926,13,mean_rank,8,1.057092470427354,
loso_s2,2,full,,20260926,13,mean_rank,9,1.0334911114639709,
loso_s2,2,full,,20260926,13,mean_rank,10,1.033810180094507,
loso_s2,2,full,,20260926,13,mean_rank,11,1.0189210383428469,
loso_s2,2,full,,20260926,13,mean_rank,12,1.0127822847829924,
loso_s2,2,full,,20260926,13,mean_rank,13,1.005342538158099,
loso_s3,3,full,,20260924,10,mean_rank,1,1.3764075140158336,
loso_s3,3,full,,20260924,10,mean_rank,2,1.3293685449494257,
loso_s3,3,full,,20260924,10,mean_rank,3,1.256012616886033,
loso_s3,3,full,,20260924,10,mean_rank,4,1.218011811375618,
loso_s3,3,full,,20260924,10,mean_rank,5,1.19303497672081,
