fold,subject,selected_epochs,selection_rule,selection_sha256,source
loso_s1,1,27,mean_rank,bd9ea80e9f8379ce888fa45e9da92481a1d24fa0a89dbf2f51641d67488dee8d,frozen_Q5_inner_curves
loso_s2,2,13,mean_rank,bd9ea80e9f8379ce888fa45e9da92481a1d24fa0a89dbf2f51641d67488dee8d,frozen_Q5_inner_curves
loso_s3,3,10,mean_rank,bd9ea80e9f8379ce888fa45e9da92481a1d24fa0a89dbf2f51641d67488dee8d,frozen_Q5_inner_curves
loso_s4,4,10,mean_rank,bd9ea80e9f8379ce888fa45e9da92481a1d24fa0a89dbf2f51641d67488dee8d,frozen_Q5_inner_curves
loso_s5,5,17,mean_rank,bd9ea80e9f8379ce888fa45e9da92481a1d24fa0a89dbf2f51641d67488dee8d,frozen_Q5_inner_curves
loso_s6,6,15,mean_rank,bd9ea80e9f8379ce888fa45e9da92481a1d24fa0a89dbf2f51641d67488dee8d,frozen_Q5_inner_curves
loso_s7,7,16,mean_rank,bd9ea80e9f8379ce888fa45e9da92481a1d24fa0a89dbf2f51641d67488dee8d,frozen_Q5_inner_curves
loso_s8,8,23,mean_rank,bd9ea80e9f8379ce888fa45e9da92481a1d24fa0a89dbf2f51641d67488dee8d,frozen_Q5_inner_curves
loso_s9,9,9,mean_rank,bd9ea80e9f8379ce888fa45e9da92481a1d24fa0a89dbf2f51641d67488dee8d,frozen_Q5_inner_curves
