fold,subject,k,model,stratum,n_train,n_test,balanced_accuracy,accuracy,macro_f1,cohen_kappa
loso_s4,4,72,FBCSP_MI72_LDA,unflagged,4608,490,0.3889205953420202,0.38571428571428573,0.3677130211950281,0.18341019948288362
loso_s4,4,72,FBCSP_MI72_LDA,flagged,4608,86,0.42629227053140095,0.4418604651162791,0.41006030701754387,0.24945454545454537
loso_s5,5,8,FBCSP_MI8_LDA,all,4608,576,0.2569444444444444,0.2569444444444444,0.16584769316286826,0.0092592592592593
loso_s5,5,8,FBCSP_MI8_LDA,unflagged,4608,538,0.2620386844975033,0.25650557620817843,0.16714944885926686,0.015409392042750936
loso_s5,5,8,FBCSP_MI8_LDA,flagged,4608,38,0.19930069930069932,0.2631578947368421,0.14646464646464646,-0.10373443983402497
loso_s5,5,16,FBCSP_MI16_LDA,all,4608,576,0.2569444444444444,0.2569444444444444,0.1649502840909091,0.0092592592592593
loso_s5,5,16,FBCSP_MI16_LDA,unflagged,4608,538,0.25642828445158694,0.25092936802973975,0.162153312788906,0.008043116227147151
loso_s5,5,16,FBCSP_MI16_LDA,flagged,4608,38,0.26398601398601396,0.34210526315789475,0.20340909090909093,0.02263374485596714
loso_s5,5,32,FBCSP_MI32_LDA,all,4608,576,0.2621527777777778,0.2621527777777778,0.17750310433996613,0.01620370370370372
loso_s5,5,32,FBCSP_MI32_LDA,unflagged,4608,538,0.2686284454914252,0.26394052044609667,0.18004126887251695,0.024121219894280732
loso_s5,5,32,FBCSP_MI32_LDA,flagged,4608,38,0.19055944055944057,0.23684210526315788,0.14479166666666665,-0.1108870967741935
loso_s5,5,72,FBCSP_MI72_LDA,all,4608,576,0.28125,0.28125,0.1882167936447686,0.04166666666666663
loso_s5,5,72,FBCSP_MI72_LDA,unflagged,4608,538,0.2839063307122769,0.2788104089219331,0.18756305488297015,0.04393228784991943
loso_s5,5,72,FBCSP_MI72_LDA,flagged,4608,38,0.24825174825174823,0.3157894736842105,0.1935483870967742,0.002020202020201922
loso_s6,6,8,FBCSP_MI8_LDA,all,4608,576,0.2690972222222222,0.2690972222222222,0.15971604047840635,0.02546296296296291
loso_s6,6,8,FBCSP_MI8_LDA,unflagged,4608,434,0.2792727903164796,0.28110599078341014,0.1684547271993624,0.04045579200238092
loso_s6,6,8,FBCSP_MI8_LDA,flagged,4608,142,0.2423107962697274,0.2323943661971831,0.1345614966828733,-0.017887675917400925
loso_s6,6,16,FBCSP_MI16_LDA,all,4608,576,0.296875,0.296875,0.2274983189367983,0.0625
loso_s6,6,16,FBCSP_MI16_LDA,unflagged,4608,434,0.308902171857269,0.30414746543778803,0.23000630914826498,0.07755756995664664
