fold,subject,selected_epochs,selection_rule,selected_mean_rank,selection_seed,target_result_used
loso_s1,1,6,mean_rank,9.75,20260923,False
loso_s2,2,6,mean_rank,6.5,20260923,False
loso_s3,3,5,mean_rank,4.0,20260923,False
loso_s4,4,6,mean_rank,3.5,20260923,False
loso_s5,5,2,mean_rank,11.25,20260923,False
loso_s6,6,7,mean_rank,4.25,20260923,False
loso_s7,7,8,mean_rank,10.5,20260923,False
loso_s8,8,9,mean_rank,10.25,20260923,False
loso_s9,9,7,mean_rank,8.5,20260923,False
