epoch,train_ce,val_ce
1,1.361701112654474,
2,1.2707856479618285,
3,1.2250804586542978,
4,1.210603459013833,
5,1.2075595590803359,
6,1.215180332461993,
7,1.223271186153094,
8,1.2278412878513336,
9,1.2174674603674147,
10,1.2422287116448085,
11,1.2174616091781192,
12,1.2036125444703631,
13,1.219419538974762,
14,1.1955677916606267,
15,1.1838341272539563,
16,1.1921217027637694,
17,1.154846610294448,
18,1.1590099417501025,
19,1.1816339923275843,
20,1.1476267617609766,
21,1.1504335188203387,
22,1.1445642395151987,
23,1.1445249219735463,
24,1.1326215126448207,
25,1.110861390001244,
26,1.1399936286939516,
